Cycle/CIFAR,XAI Method,Sample ID,Continuity,Compactness,Correctness,Consistency,XQS
2,SHAP,66,0.314,0.509,0.053,0.347,0.53
2,SHAP,67,0.051,0.431,0.005,0.271,0.437
2,SHAP,68,0.148,0.537,0.113,0.428,0.5
2,SHAP,69,0.13,0.486,0.614,0.325,0.332
2,SHAP,70,0.246,0.596,0.047,0.361,0.539
2,SHAP,71,0.271,0.496,0.007,0.22,0.495
2,SHAP,72,0.202,0.45,0.307,0.27,0.404
2,SHAP,73,0.202,0.472,0.471,0.229,0.358
2,SHAP,74,0.227,0.493,0.078,0.211,0.463
2,SHAP,75,0.143,0.447,0.006,0.232,0.454
2,SHAP,76,0.14,0.454,0.098,0.326,0.456
2,SHAP,77,0.18,0.513,0.574,0.211,0.333
2,SHAP,78,0.091,0.503,0.12,0.234,0.427
2,SHAP,79,0.291,0.489,0.149,0.349,0.495
2,SHAP,80,0.229,0.479,0.003,0.146,0.463
2,SHAP,81,0.097,0.497,0.07,0.296,0.455
2,SHAP,82,0.236,0.426,0.005,0.327,0.496
2,SHAP,83,0.216,0.488,0.112,0.115,0.427
2,SHAP,84,0.078,0.464,0.293,0.384,0.408
2,SHAP,85,0.205,0.473,0.065,0.33,0.486
2,SHAP,86,0.173,0.474,0.053,0.2,0.449
2,SHAP,87,0.126,0.493,0.177,0.2,0.411
2,SHAP,88,0.128,0.449,0.344,0.145,0.345
2,SHAP,89,0.044,0.499,0.497,0.289,0.334
2,SHAP,90,0.103,0.451,0.143,0.276,0.421
2,SHAP,91,0.245,0.476,0.004,0.3,0.504
2,SHAP,92,0.191,0.464,0.012,0.253,0.474
2,SHAP,93,0.207,0.546,0.013,0.228,0.492
2,SHAP,94,0.118,0.447,0.226,0.21,0.387
2,SHAP,95,0.061,0.445,0.005,0.348,0.462
2,SHAP,96,0.128,0.511,0.179,0.263,0.431
2,SHAP,97,0.22,0.447,0.165,0.31,0.453
2,SHAP,98,0.198,0.482,0.324,0.252,0.402
2,SHAP,99,0.13,0.467,0.009,0.306,0.474
3,GradCAM,0,0.944,0.397,0.037,0.998,0.825
3,GradCAM,1,0.95,0.314,0.019,0.991,0.809
3,GradCAM,2,0.876,0.293,0.021,0.969,0.779
3,GradCAM,3,0.878,0.374,0.137,0.997,0.778
3,GradCAM,4,0.931,0.292,0.441,0.997,0.695
3,GradCAM,5,0.892,0.277,0.04,0.994,0.781
3,GradCAM,6,0.968,0.468,0.155,0.999,0.82
3,GradCAM,7,0.955,0.42,0.086,0.994,0.821
3,GradCAM,8,0.89,0.297,0.04,0.993,0.785
3,GradCAM,9,0.971,0.373,0.838,0.998,0.626
3,GradCAM,10,0.954,0.423,0.041,0.997,0.833
3,GradCAM,11,0.918,0.375,0.069,0.994,0.805
3,GradCAM,12,0.963,0.475,0.034,0.998,0.85
3,GradCAM,13,0.923,0.383,0.214,0.993,0.771
3,GradCAM,14,0.948,0.343,0.072,0.97,0.798
3,GradCAM,15,0.852,0.374,0.083,0.994,0.784
3,GradCAM,16,0.969,0.385,0.026,0.997,0.831
3,GradCAM,17,0.956,0.315,0.048,0.997,0.805
3,GradCAM,18,0.957,0.391,0.886,0.993,0.614
3,GradCAM,19,0.881,0.313,0.007,0.992,0.795
3,GradCAM,20,0.96,0.381,0.004,0.981,0.829
3,GradCAM,21,0.901,0.333,0.007,0.994,0.805
3,GradCAM,22,0.893,0.303,0.047,0.952,0.775
3,GradCAM,23,0.964,0.321,0.925,0.989,0.587
3,GradCAM,24,0.936,0.409,0.015,0.998,0.832
3,GradCAM,25,0.934,0.279,0.089,0.991,0.779
3,GradCAM,26,0.854,0.346,0.756,0.988,0.608
3,GradCAM,27,0.921,0.235,0.075,0.993,0.768
3,GradCAM,28,0.98,0.327,0.019,0.997,0.822
3,GradCAM,29,0.959,0.421,0.293,0.997,0.771
3,GradCAM,30,0.942,0.364,0.132,0.996,0.792
3,GradCAM,31,0.941,0.4,0.01,0.998,0.832
3,GradCAM,32,0.971,0.301,0.214,0.993,0.763
3,GradCAM,33,0.976,0.314,0.089,0.995,0.799
3,GradCAM,34,0.978,0.418,0.937,0.997,0.614
3,GradCAM,35,0.896,0.303,0.007,0.987,0.795
3,GradCAM,36,0.818,0.343,0.732,0.998,0.606
3,GradCAM,37,0.826,0.316,0.002,0.998,0.785
3,GradCAM,38,0.907,0.334,0.01,0.989,0.805
3,GradCAM,39,0.957,0.361,0.001,0.992,0.827
3,GradCAM,40,0.892,0.351,0.224,0.995,0.754
3,GradCAM,41,0.898,0.364,0.057,0.998,0.801
3,GradCAM,42,0.974,0.336,0.035,0.995,0.818
3,GradCAM,43,0.893,0.321,0.014,0.986,0.797
3,GradCAM,44,0.826,0.28,0.019,0.998,0.771
3,GradCAM,45,0.857,0.369,0.438,0.998,0.696
3,GradCAM,46,0.95,0.378,0.001,0.988,0.829
3,GradCAM,47,0.984,0.319,0.044,0.995,0.813
3,GradCAM,48,0.993,0.411,0.121,0.999,0.821
3,GradCAM,49,0.955,0.315,0.006,0.997,0.815
3,GradCAM,50,0.843,0.351,0.065,0.984,0.778
3,GradCAM,51,0.918,0.34,0.03,0.976,0.801
3,GradCAM,52,0.974,0.416,0.299,0.997,0.772
3,GradCAM,53,0.787,0.31,0.008,0.995,0.771
3,GradCAM,54,0.912,0.308,0.089,0.984,0.779
3,GradCAM,55,0.964,0.367,0.345,0.998,0.746
3,GradCAM,56,0.886,0.335,0.003,0.993,0.803
3,GradCAM,57,0.993,0.414,0.832,0.994,0.642
3,GradCAM,58,0.941,0.444,0.007,0.995,0.843
3,GradCAM,59,0.973,0.376,0.016,0.992,0.831
3,GradCAM,60,0.89,0.403,0.006,0.996,0.821
3,GradCAM,61,0.877,0.408,0.873,0.993,0.601
3,GradCAM,62,0.951,0.384,0.239,0.998,0.774
3,GradCAM,63,0.912,0.334,0.051,0.995,0.797
3,GradCAM,64,0.948,0.39,0.004,0.996,0.833
3,GradCAM,65,0.966,0.387,0.01,0.993,0.834
3,GradCAM,66,0.976,0.35,0.008,0.977,0.824
